21:44:12.428767 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 374068:374224, ack 181, win 501, length 156
21:44:12.458729 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 407364:407520, ack 217, win 501, length 156
21:44:12.459222 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 392372, win 6295, length 0
21:44:12.459258 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 407520:407676, ack 217, win 501, length 156
21:44:12.459435 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 407676:407936, ack 217, win 501, length 260
21:44:12.459585 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 407936:408092, ack 217, win 501, length 156
21:44:12.459716 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 408092:408248, ack 217, win 501, length 156
21:44:12.459838 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 408248:408404, ack 217, win 501, length 156
21:44:12.460001 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 394504, win 6295, length 0
21:44:12.460052 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 408404:408560, ack 217, win 501, length 156
21:44:12.460198 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 408560:408820, ack 217, win 501, length 260
21:44:12.460334 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 408820:408976, ack 217, win 501, length 156
21:44:12.460463 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 408976:409132, ack 217, win 501, length 156
21:44:12.460599 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 409132:409288, ack 217, win 501, length 156
21:44:12.460743 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 409288:409444, ack 217, win 501, length 156
21:44:12.460858 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 409444:409600, ack 217, win 501, length 156
21:44:12.460975 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 409600:409756, ack 217, win 501, length 156
21:44:12.461146 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 409756:409912, ack 217, win 501, length 156
21:44:12.461295 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 409912:410068, ack 217, win 501, length 156
21:44:12.461416 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 410068:410224, ack 217, win 501, length 156
21:44:12.461457 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 395440, win 6292, length 0
21:44:12.461581 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 410224:410484, ack 217, win 501, length 260
21:44:12.461701 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 410484:410640, ack 217, win 501, length 156
21:44:12.461816 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 410640:410796, ack 217, win 501, length 156
21:44:12.461934 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 410796:410952, ack 217, win 501, length 156
21:44:12.462074 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 410952:411108, ack 217, win 501, length 156
21:44:12.462218 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 411108:411264, ack 217, win 501, length 156
21:44:12.462347 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 411264:411420, ack 217, win 501, length 156
21:44:12.462474 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 411420:411576, ack 217, win 501, length 156
21:44:12.462606 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 411576:411732, ack 217, win 501, length 156
21:44:12.462722 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 411732:411888, ack 217, win 501, length 156
21:44:12.462842 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 411888:412044, ack 217, win 501, length 156
21:44:12.462981 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 412044:412200, ack 217, win 501, length 156
21:44:12.463135 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 412200:412356, ack 217, win 501, length 156
21:44:12.463272 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 412356:412512, ack 217, win 501, length 156
21:44:12.463409 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 412512:412668, ack 217, win 501, length 156
21:44:12.463449 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 398144, win 6295, length 0
21:44:12.463585 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 412668:412928, ack 217, win 501, length 260
21:44:12.463706 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 412928:413084, ack 217, win 501, length 156
21:44:12.463825 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 413084:413240, ack 217, win 501, length 156
21:44:12.464036 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 413240:413396, ack 217, win 501, length 156
21:44:12.464207 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 413396:413552, ack 217, win 501, length 156
21:44:12.464330 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 413552:413708, ack 217, win 501, length 156
21:44:12.464447 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 413708:413864, ack 217, win 501, length 156
21:44:12.464570 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 413864:414020, ack 217, win 501, length 156
21:44:12.464691 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 414020:414176, ack 217, win 501, length 156
21:44:12.464807 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 414176:414332, ack 217, win 501, length 156
21:44:12.464929 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 414332:414488, ack 217, win 501, length 156
21:44:12.465084 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 414488:414644, ack 217, win 501, length 156
21:44:12.465217 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 414644:414800, ack 217, win 501, length 156
21:44:12.465354 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 414800:414956, ack 217, win 501, length 156
21:44:12.465492 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 414956:415112, ack 217, win 501, length 156
21:44:12.465611 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 415112:415268, ack 217, win 501, length 156
21:44:12.465715 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 400120, win 6295, length 0
21:44:12.465821 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 415268:415528, ack 217, win 501, length 260
21:44:12.465943 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 415528:415684, ack 217, win 501, length 156
21:44:12.466078 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 415684:415840, ack 217, win 501, length 156
21:44:12.466198 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 401436, win 6290, length 0
21:44:12.466253 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 415840:415996, ack 217, win 501, length 156
21:44:12.466397 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 415996:416256, ack 217, win 501, length 260
21:44:12.466515 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 416256:416412, ack 217, win 501, length 156
21:44:12.466633 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 416412:416568, ack 217, win 501, length 156
21:44:12.466760 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 416568:416724, ack 217, win 501, length 156
21:44:12.466897 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 416724:416880, ack 217, win 501, length 156
21:44:12.467028 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 416880:417036, ack 217, win 501, length 156
21:44:12.467148 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 417036:417192, ack 217, win 501, length 156
21:44:12.467207 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 402476, win 6295, length 0
21:44:12.467333 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 417192:417452, ack 217, win 501, length 260
21:44:12.467459 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 417452:417608, ack 217, win 501, length 156
21:44:12.467586 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 417608:417764, ack 217, win 501, length 156
21:44:12.467702 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 417764:417920, ack 217, win 501, length 156
21:44:12.467819 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 417920:418076, ack 217, win 501, length 156
21:44:12.467981 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 418076:418232, ack 217, win 501, length 156
21:44:12.468120 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 418232:418388, ack 217, win 501, length 156
21:44:12.468237 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 418388:418544, ack 217, win 501, length 156
21:44:12.468356 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 418544:418700, ack 217, win 501, length 156
21:44:12.468491 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 418700:418856, ack 217, win 501, length 156
21:44:12.468605 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 418856:419012, ack 217, win 501, length 156
21:44:12.468731 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 419012:419168, ack 217, win 501, length 156
21:44:12.468847 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 419168:419324, ack 217, win 501, length 156
21:44:12.468960 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 419324:419480, ack 217, win 501, length 156
21:44:12.469744 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 405076, win 6295, length 0
21:44:12.469793 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 419480:419636, ack 217, win 501, length 156
21:44:12.469991 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 419636:419896, ack 217, win 501, length 260
21:44:12.470138 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 419896:420052, ack 217, win 501, length 156
21:44:12.470260 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 420052:420208, ack 217, win 501, length 156
21:44:12.470408 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 420208:420364, ack 217, win 501, length 156
21:44:12.470531 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 420364:420520, ack 217, win 501, length 156
21:44:12.470677 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 420520:420676, ack 217, win 501, length 156
21:44:12.470795 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 420676:420832, ack 217, win 501, length 156
21:44:12.470920 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 420832:420988, ack 217, win 501, length 156
21:44:12.471036 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 420988:421144, ack 217, win 501, length 156
21:44:12.471154 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 421144:421300, ack 217, win 501, length 156
21:44:12.471275 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 421300:421456, ack 217, win 501, length 156
21:44:12.471391 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 421456:421612, ack 217, win 501, length 156
21:44:12.471513 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 421612:421768, ack 217, win 501, length 156
21:44:12.471628 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 421768:421924, ack 217, win 501, length 156
21:44:12.471745 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 421924:422080, ack 217, win 501, length 156
21:44:12.472767 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 408248, win 6295, length 0
21:44:12.472815 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 422080:422236, ack 217, win 501, length 156
21:44:12.473006 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 422236:422496, ack 217, win 501, length 260
21:44:12.473138 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 422496:422652, ack 217, win 501, length 156
21:44:12.473257 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 422652:422808, ack 217, win 501, length 156
21:44:12.473418 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 422808:422964, ack 217, win 501, length 156
21:44:12.473611 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 422964:423120, ack 217, win 501, length 156
21:44:12.473776 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 423120:423276, ack 217, win 501, length 156
21:44:12.473907 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 423276:423432, ack 217, win 501, length 156
21:44:12.474023 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 423432:423588, ack 217, win 501, length 156
21:44:12.474139 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 423588:423744, ack 217, win 501, length 156
21:44:12.474258 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 423744:423900, ack 217, win 501, length 156
21:44:12.474373 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 423900:424056, ack 217, win 501, length 156
21:44:12.474488 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 424056:424212, ack 217, win 501, length 156
21:44:12.474607 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 424212:424368, ack 217, win 501, length 156
21:44:12.474725 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 424368:424524, ack 217, win 501, length 156
21:44:12.474844 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 424524:424680, ack 217, win 501, length 156
21:44:12.474959 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 424680:424836, ack 217, win 501, length 156
21:44:12.475071 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 424836:424992, ack 217, win 501, length 156
21:44:12.475188 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 424992:425148, ack 217, win 501, length 156
21:44:12.475740 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 410068, win 6295, length 0
21:44:12.475785 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 425148:425304, ack 217, win 501, length 156
21:44:12.476031 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 425304:425564, ack 217, win 501, length 260
21:44:12.476183 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 411576, win 6295, length 0
21:44:12.476235 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 425564:425720, ack 217, win 501, length 156
21:44:12.476394 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 425720:425980, ack 217, win 501, length 260
21:44:12.476486 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 413396, win 6295, length 0
21:44:12.476602 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 425980:426240, ack 217, win 501, length 260
21:44:12.476732 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 426240:426396, ack 217, win 501, length 156
21:44:12.476870 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 426396:426552, ack 217, win 501, length 156
21:44:12.477008 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 426552:426708, ack 217, win 501, length 156
21:44:12.477133 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 426708:426864, ack 217, win 501, length 156
21:44:12.477253 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 426864:427020, ack 217, win 501, length 156
21:44:12.477382 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 427020:427176, ack 217, win 501, length 156
21:44:12.477530 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 427176:427332, ack 217, win 501, length 156
21:44:12.477650 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 427332:427488, ack 217, win 501, length 156
21:44:12.477770 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 427488:427644, ack 217, win 501, length 156
21:44:12.477885 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 427644:427800, ack 217, win 501, length 156
21:44:12.477970 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 415112, win 6295, length 0
21:44:12.478067 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 427800:428060, ack 217, win 501, length 260
21:44:12.478207 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 428060:428216, ack 217, win 501, length 156
21:44:12.478327 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 428216:428372, ack 217, win 501, length 156
21:44:12.478453 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 428372:428528, ack 217, win 501, length 156
21:44:12.478565 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 428528:428684, ack 217, win 501, length 156
21:44:12.478683 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 428684:428840, ack 217, win 501, length 156
21:44:12.478821 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 428840:428996, ack 217, win 501, length 156
21:44:12.478943 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 428996:429152, ack 217, win 501, length 156
21:44:12.479062 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 429152:429308, ack 217, win 501, length 156
21:44:12.479179 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 429308:429464, ack 217, win 501, length 156
21:44:12.479294 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 429464:429620, ack 217, win 501, length 156
21:44:12.479407 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 429620:429776, ack 217, win 501, length 156
21:44:12.479523 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 429776:429932, ack 217, win 501, length 156
21:44:12.479640 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 429932:430088, ack 217, win 501, length 156
21:44:12.479695 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 416724, win 6295, length 0
21:44:12.479813 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 430088:430348, ack 217, win 501, length 260
21:44:12.479982 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 430348:430504, ack 217, win 501, length 156
21:44:12.480116 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 430504:430660, ack 217, win 501, length 156
21:44:12.480238 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 430660:430816, ack 217, win 501, length 156
21:44:12.480357 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 430816:430972, ack 217, win 501, length 156
21:44:12.480475 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 430972:431128, ack 217, win 501, length 156
21:44:12.480588 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 431128:431284, ack 217, win 501, length 156
21:44:12.480708 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 431284:431440, ack 217, win 501, length 156
21:44:12.480823 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 431440:431596, ack 217, win 501, length 156
21:44:12.480941 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 431596:431752, ack 217, win 501, length 156
21:44:12.481054 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 431752:431908, ack 217, win 501, length 156
21:44:12.481174 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 431908:432064, ack 217, win 501, length 156
21:44:12.481226 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 418544, win 6295, length 0
21:44:12.481342 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 432064:432324, ack 217, win 501, length 260
21:44:12.481465 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 432324:432480, ack 217, win 501, length 156
21:44:12.481583 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 432480:432636, ack 217, win 501, length 156
21:44:12.481697 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 432636:432792, ack 217, win 501, length 156
21:44:12.481815 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 432792:432948, ack 217, win 501, length 156
21:44:12.481958 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 432948:433104, ack 217, win 501, length 156
21:44:12.482157 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 433104:433260, ack 217, win 501, length 156
21:44:12.482309 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 433260:433416, ack 217, win 501, length 156
21:44:12.482506 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 433416:433572, ack 217, win 501, length 156
21:44:12.482647 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 433572:433728, ack 217, win 501, length 156
21:44:12.482692 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 419636, win 6291, length 0
21:44:12.482848 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 433728:433988, ack 217, win 501, length 260
21:44:12.483059 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 433988:434144, ack 217, win 501, length 156
21:44:12.483245 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 434144:434300, ack 217, win 501, length 156
21:44:12.483441 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 434300:434456, ack 217, win 501, length 156
21:44:12.483629 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 434456:434612, ack 217, win 501, length 156
21:44:12.483826 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 434612:434768, ack 217, win 501, length 156
21:44:12.484083 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 434768:434924, ack 217, win 501, length 156
21:44:12.484223 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 421300, win 6295, length 0
21:44:12.484286 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 434924:435080, ack 217, win 501, length 156
21:44:12.484408 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 435080:435340, ack 217, win 501, length 260
21:44:12.484526 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 435340:435496, ack 217, win 501, length 156
21:44:12.484647 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 435496:435652, ack 217, win 501, length 156
21:44:12.484810 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 435652:435808, ack 217, win 501, length 156
21:44:12.484958 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 435808:435964, ack 217, win 501, length 156
21:44:12.485091 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 435964:436120, ack 217, win 501, length 156
21:44:12.485210 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 436120:436276, ack 217, win 501, length 156
21:44:12.485325 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 436276:436432, ack 217, win 501, length 156
21:44:12.485442 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 436432:436588, ack 217, win 501, length 156
21:44:12.485651 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 436588:436744, ack 217, win 501, length 156
21:44:12.485822 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 436744:436900, ack 217, win 501, length 156
21:44:12.485947 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 436900:437056, ack 217, win 501, length 156
21:44:12.485988 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 421612, win 6294, length 0
21:44:12.486114 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 437056:437316, ack 217, win 501, length 260
21:44:12.486237 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 437316:437472, ack 217, win 501, length 156
21:44:12.486367 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 437472:437628, ack 217, win 501, length 156
21:44:12.486527 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 422080, win 6292, length 0
21:44:12.486558 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 437628:437784, ack 217, win 501, length 156
21:44:12.486704 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 437784:438044, ack 217, win 501, length 260
21:44:12.486832 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 438044:438200, ack 217, win 501, length 156
21:44:12.486953 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 438200:438356, ack 217, win 501, length 156
21:44:12.487068 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 438356:438512, ack 217, win 501, length 156
21:44:12.487182 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 438512:438668, ack 217, win 501, length 156
21:44:12.487314 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 438668:438824, ack 217, win 501, length 156
21:44:12.487444 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 438824:438980, ack 217, win 501, length 156
21:44:12.487595 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 438980:439136, ack 217, win 501, length 156
21:44:12.487721 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 439136:439292, ack 217, win 501, length 156
21:44:12.490224 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 425148, win 6295, length 0
21:44:12.490274 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 439292:439448, ack 217, win 501, length 156
21:44:12.490439 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 426708, win 6295, length 0
21:44:12.490571 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 439448:439812, ack 217, win 501, length 364
21:44:12.490707 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 439812:439968, ack 217, win 501, length 156
21:44:12.490828 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 439968:440124, ack 217, win 501, length 156
21:44:12.490931 IP 64.231.199.91.59623 > 134.122.35.207.22: Flags [.], ack 428372, win 6295, length 0
21:44:12.490994 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 440124:440280, ack 217, win 501, length 156
21:44:12.491204 IP 134.122.35.207.22 > 64.231.199.91.59623: Flags [P.], seq 440280:440540, ack 217, win 501, length 260
